Number_of_Tweets,Number_of_Followers,Number_of_Friends,Total Retweet Count,Total Favourite Count,Average Retweet Count,Average Favourite Count,Date
8138,12324854,428,8157921,25646951,1002.447899,3151.505407,9/21/2021
8139,12325169,428,8162846,25673543,1002.93,3154.385,9/22/2021
8141,12325635,428,8162267,25673091,1002.612333,3153.554969,9/23/2021
8142,12325696,428,8161107,25675368,1002.347,3153.447,9/24/2021
8142,12325880,428,8160449,25674984,1002.266,3153.4,9/25/2021
8142,12326103,428,8159798,25674080,1002.186,3153.289,9/26/2021
8143,12326025,428,8158734,25671189,1001.932,3152.547,9/27/2021
8145,12326065,428,8157675,25668979,1001.556,3151.501,9/28/2021
8146,12325997,428,8156730,25667450,1001.317,3150.927,9/29/2021
8149,12326119,428,8155830,25667457,1000.838,3149.768,9/30/2021
8150,12325944,428,8154930,25665487,1000.605,3149.14,10/1/2021
8151,12326055,428,8153357,25664078,1000.289,3148.58,10/2/2021
8151,12326071,428,8152441,25662215,1000.177,3148.352,10/3/2021